Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-05-01,00,1,Alumni,0,0
2020-05-01,00,1,Non-HKUST,0,0
2020-05-01,00,1,Others(HKUST),1,1
2020-05-01,00,1,RPG,0,0
2020-05-01,00,1,Staff,3,6
2020-05-01,00,1,TPG,0,0
2020-05-01,00,1,Total,4,7
2020-05-01,00,1,UG,0,0
2020-05-01,00,All-Floors,Alumni,0,0
2020-05-01,00,All-Floors,Non-HKUST,0,0
2020-05-01,00,All-Floors,Others(HKUST),2,21
2020-05-01,00,All-Floors,RPG,0,0
2020-05-01,00,All-Floors,Staff,4,8
2020-05-01,00,All-Floors,TPG,0,0
2020-05-01,00,All-Floors,Total,6,29
2020-05-01,00,All-Floors,UG,0,0
2020-05-01,00,G,Alumni,0,0
2020-05-01,00,G,Non-HKUST,0,0
2020-05-01,00,G,Others(HKUST),1,3
2020-05-01,00,G,RPG,0,0
2020-05-01,00,G,Staff,1,2
2020-05-01,00,G,TPG,0,0
2020-05-01,00,G,Total,2,5
2020-05-01,00,G,UG,0,0
2020-05-01,00,LG1,Alumni,0,0
2020-05-01,00,LG1,Non-HKUST,0,0
2020-05-01,00,LG1,Others(HKUST),1,13
2020-05-01,00,LG1,RPG,0,0
2020-05-01,00,LG1,Staff,0,0
2020-05-01,00,LG1,TPG,0,0
2020-05-01,00,LG1,Total,1,13
2020-05-01,00,LG1,UG,0,0
2020-05-01,00,LG3,Alumni,0,0
2020-05-01,00,LG3,Non-HKUST,0,0
2020-05-01,00,LG3,Others(HKUST),0,0
2020-05-01,00,LG3,RPG,0,0
2020-05-01,00,LG3,Staff,0,0
2020-05-01,00,LG3,TPG,0,0
2020-05-01,00,LG3,Total,0,0
2020-05-01,00,LG3,UG,0,0
2020-05-01,00,LG4,Alumni,0,0
2020-05-01,00,LG4,Non-HKUST,0,0
2020-05-01,00,LG4,Others(HKUST),1,4
2020-05-01,00,LG4,RPG,0,0
2020-05-01,00,LG4,Staff,0,0
2020-05-01,00,LG4,TPG,0,0
2020-05-01,00,LG4,Total,1,4
2020-05-01,00,LG4,UG,0,0
2020-05-01,01,1,Alumni,0,0
2020-05-01,01,1,Non-HKUST,0,0
2020-05-01,01,1,Others(HKUST),1,2
2020-05-01,01,1,RPG,0,0
2020-05-01,01,1,Staff,4,8
2020-05-01,01,1,TPG,0,0
2020-05-01,01,1,Total,5,10
2020-05-01,01,1,UG,0,0
2020-05-01,01,All-Floors,Alumni,0,0
2020-05-01,01,All-Floors,Non-HKUST,0,0
2020-05-01,01,All-Floors,Others(HKUST),2,18
2020-05-01,01,All-Floors,RPG,0,0
2020-05-01,01,All-Floors,Staff,5,10
2020-05-01,01,All-Floors,TPG,0,0
2020-05-01,01,All-Floors,Total,8,30
2020-05-01,01,All-Floors,UG,1,2
2020-05-01,01,G,Alumni,0,0
2020-05-01,01,G,Non-HKUST,0,0
2020-05-01,01,G,Others(HKUST),1,2
2020-05-01,01,G,RPG,0,0
2020-05-01,01,G,Staff,1,2
2020-05-01,01,G,TPG,0,0
2020-05-01,01,G,Total,2,4
2020-05-01,01,G,UG,0,0
2020-05-01,01,LG1,Alumni,0,0
2020-05-01,01,LG1,Non-HKUST,0,0
2020-05-01,01,LG1,Others(HKUST),1,10
2020-05-01,01,LG1,RPG,0,0
2020-05-01,01,LG1,Staff,0,0
2020-05-01,01,LG1,TPG,0,0
2020-05-01,01,LG1,Total,1,10
2020-05-01,01,LG1,UG,0,0
2020-05-01,01,LG3,Alumni,0,0
2020-05-01,01,LG3,Non-HKUST,0,0
2020-05-01,01,LG3,Others(HKUST),0,0
2020-05-01,01,LG3,RPG,0,0
2020-05-01,01,LG3,Staff,0,0
2020-05-01,01,LG3,TPG,0,0
2020-05-01,01,LG3,Total,0,0
2020-05-01,01,LG3,UG,0,0
2020-05-01,01,LG4,Alumni,0,0
2020-05-01,01,LG4,Non-HKUST,0,0
2020-05-01,01,LG4,Others(HKUST),1,4
2020-05-01,01,LG4,RPG,0,0
2020-05-01,01,LG4,Staff,0,0
2020-05-01,01,LG4,TPG,0,0
2020-05-01,01,LG4,Total,2,6
2020-05-01,01,LG4,UG,1,2
2020-05-01,02,1,Alumni,0,0
2020-05-01,02,1,Non-HKUST,0,0
2020-05-01,02,1,Others(HKUST),1,2
2020-05-01,02,1,RPG,0,0
2020-05-01,02,1,Staff,3,5
2020-05-01,02,1,TPG,0,0
2020-05-01,02,1,Total,4,7
2020-05-01,02,1,UG,0,0
2020-05-01,02,All-Floors,Alumni,0,0
2020-05-01,02,All-Floors,Non-HKUST,0,0
2020-05-01,02,All-Floors,Others(HKUST),2,18
2020-05-01,02,All-Floors,RPG,0,0
2020-05-01,02,All-Floors,Staff,4,7
2020-05-01,02,All-Floors,TPG,0,0
2020-05-01,02,All-Floors,Total,6,25
2020-05-01,02,All-Floors,UG,0,0
2020-05-01,02,G,Alumni,0,0
2020-05-01,02,G,Non-HKUST,0,0
2020-05-01,02,G,Others(HKUST),1,2
2020-05-01,02,G,RPG,0,0
2020-05-01,02,G,Staff,1,2
2020-05-01,02,G,TPG,0,0
2020-05-01,02,G,Total,2,4
2020-05-01,02,G,UG,0,0
2020-05-01,02,LG1,Alumni,0,0
2020-05-01,02,LG1,Non-HKUST,0,0
2020-05-01,02,LG1,Others(HKUST),1,10
2020-05-01,02,LG1,RPG,0,0
2020-05-01,02,LG1,Staff,0,0
2020-05-01,02,LG1,TPG,0,0
